City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Atuona,PF,79.39,clear sky,-9.8,-139.0333,Villa Enata
10,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Laguna,US,75.34,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
19,Grand Gaube,MU,79.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
20,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
21,Geraldton,AU,79.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
22,Rikitea,PF,79.63,clear sky,-23.1203,-134.9692,People ThankYou
26,Khandwa,IN,83.26,clear sky,21.8333,76.3333,Hotel Grand Barrack
32,Butaritari,KI,81.46,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
35,Pijijiapan,MX,77.14,overcast clouds,15.7011,-93.23,Hotel Rosita
45,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
49,Karratha,AU,84.07,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
51,Saint-Philippe,RE,75.22,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
55,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
59,Paredon,MX,76.1,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
63,Matara,LK,78.98,clear sky,5.9485,80.5353,Amaloh Boutique Resort
69,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
72,Catuday,PH,84.72,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
78,Vila Velha,BR,78.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
79,Crib Point,AU,84.6,clear sky,-38.35,145.2,Erawan Bed & Breakfast
82,Orange Cove,US,83.71,overcast clouds,36.6244,-119.3137,
83,Munger,IN,80.94,clear sky,25.3833,86.4667,Raj Palace
86,Hobart,AU,76.23,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
91,Cayenne,GF,81.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
95,Bengkulu,ID,81.21,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
99,Qui Nhon,VN,84.69,clear sky,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
101,Hithadhoo,MV,82.35,clear sky,-0.6,73.0833,Scoop Guest House
102,Tomohon,ID,79.74,overcast clouds,1.3346,124.8392,Gardenia Country Inn
104,Itarema,BR,75.97,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
106,Saint-Pierre,RE,76.91,clear sky,-21.3393,55.4781,Lindsey Hôtel
108,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
112,Salalah,OM,75.94,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
113,Banamba,ML,86.2,scattered clouds,13.55,-7.45,Kassela de Banamba
115,Ormara,PK,77.81,clear sky,25.2088,64.6357,Kenara Colony house for Rent
117,Puerto Ayora,EC,78.3,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
123,Pringsewu,ID,83.01,broken clouds,-5.3582,104.9744,Urban Style by Front One
125,Barreirinhas,BR,75.18,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
126,Kieta,PG,83.73,light rain,-6.2167,155.6333,Uruna Bay Retreat
135,Cockburn Town,TC,77.85,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
137,Martapura,ID,80.69,few clouds,-3.4167,114.85,Montana Hotel Syariah
140,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
145,Lorengau,PG,84.31,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
151,Sola,VU,82.98,broken clouds,-13.8833,167.55,Leumerus Bungalows
157,Tutoia,BR,76.6,light rain,-2.7619,-42.2744,Pousada Guará's
158,Bambanglipuro,ID,81.79,broken clouds,-7.95,110.2833,Puri Brata
164,Alyangula,AU,89.47,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
171,Kavieng,PG,84.0,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
175,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
176,Nabire,ID,86.97,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
180,Pitimbu,BR,77.59,moderate rain,-7.4706,-34.8086,Reserva do Abiaí
183,Mahajanga,MG,78.82,thunderstorm,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
186,La Palma,US,76.91,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
191,Victoria,HK,75.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
199,Kokopo,PG,84.04,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
201,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
207,Mareeba,AU,88.66,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
215,Catia La Mar,VE,79.0,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
217,Port Lincoln,AU,78.1,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
226,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
231,Arraial Do Cabo,BR,75.87,clear sky,-22.9661,-42.0278,Pousada Porto Praia
234,Paracuru,BR,77.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
238,Grand Baie,MU,79.45,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
244,Maryborough,AU,78.53,light rain,-25.5333,152.7,Blue Shades Motel
249,Kahului,US,75.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
251,Kribi,CM,80.29,overcast clouds,2.95,9.9167,La Grace Hôtel
253,Caravelas,BR,76.66,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
267,Bambous Virieux,MU,79.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
268,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
269,Namatanai,PG,85.62,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
273,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
292,Kotri,PK,82.8,few clouds,25.366,68.3122,Drivers Running Room
295,Mount Gambier,AU,80.51,broken clouds,-37.8333,140.7667,The Commodore
304,Kita,ML,85.57,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
306,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
313,Tessalit,ML,80.64,scattered clouds,20.1986,1.0114,
320,Tura,IN,77.04,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
321,Faanui,PF,82.33,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
323,Gigmoto,PH,83.98,few clouds,13.7796,124.39,Cj's Travellers Inn
325,Bargur,IN,76.28,few clouds,12.5424,78.3539,VP's Kitchen Smoke N Grill
329,Contai,IN,82.35,overcast clouds,21.7786,87.7536,PATHFINDER
332,Pekan,MY,78.91,clear sky,3.4836,103.3996,Pekan Budget Hotel
333,Piacabucu,BR,78.64,few clouds,-10.4056,-36.4344,Piaçabuçu News
335,Sampit,ID,85.71,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
336,Kochinda,IN,84.33,scattered clouds,21.7333,84.35,Shristi Lodge
342,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
349,Joao Pessoa,BR,77.23,broken clouds,-7.115,-34.8631,Nobile Suítes Tambaú
350,Kathu,TH,86.7,clear sky,7.9178,98.3332,Novotel Phuket Resort
351,Mayumba,GA,77.29,moderate rain,-3.432,10.6554,LIKWALE LODGE
360,Labuhan,ID,82.65,broken clouds,-6.8844,112.2051,DoubleFAG
