City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kodiak,US,57.79,-152.4072,37.06,77,100,12.33,overcast clouds
1,Gravdal,NO,68.1214,13.5031,29.68,88,100,11.77,overcast clouds
2,Busselton,AU,-33.65,115.3333,68.52,60,46,20.54,scattered clouds
3,Mataura,NZ,-46.1927,168.8643,69.58,49,0,1.95,clear sky
4,Boguchany,RU,58.3814,97.4531,14.95,86,100,13.27,overcast clouds
5,New Norfolk,AU,-42.7826,147.0587,74.7,40,0,2.57,clear sky
6,Atuona,PF,-9.8,-139.0333,79.39,79,3,15.97,clear sky
7,Bredasdorp,ZA,-34.5322,20.0403,61.11,83,5,8.57,clear sky
8,Punta Arenas,CL,-53.15,-70.9167,46.11,93,100,9.89,overcast clouds
9,Grayvoron,RU,50.4767,35.6773,33.62,74,8,18.32,clear sky
10,Hilo,US,19.7297,-155.09,78.53,79,100,14.97,overcast clouds
11,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,89,100,20.67,overcast clouds
12,Newport,GB,51.5877,-2.9984,50.54,79,4,1.01,clear sky
13,Laguna,US,38.421,-121.4238,75.34,37,0,10.36,clear sky
14,Lebu,CL,-37.6167,-73.65,54.79,90,1,2.3,clear sky
15,Hermanus,ZA,-34.4187,19.2345,63.81,84,5,12.35,clear sky
16,Nome,US,64.5011,-165.4064,26.11,70,96,2.44,overcast clouds
17,Cabo San Lucas,MX,22.8909,-109.9124,74.61,54,2,8.66,clear sky
18,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,71,20,12.66,few clouds
19,Grand Gaube,MU,-20.0064,57.6608,79.38,82,8,3,clear sky
20,Souillac,MU,-20.5167,57.5167,77.38,94,75,0,broken clouds
21,Geraldton,AU,-28.7667,114.6,79.21,73,75,6.91,broken clouds
22,Rikitea,PF,-23.1203,-134.9692,79.63,70,0,12.64,clear sky
23,Albany,US,42.6001,-73.9662,39.16,91,90,5.64,overcast clouds
24,Rio Gallegos,AR,-51.6226,-69.2181,48.25,87,100,19.57,moderate rain
