City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,3/26/2022 21:04,-21.2078,-159.775,80.65,83,40,11.5
1,Swindon,GB,3/26/2022 21:04,51.558,-1.7812,53.24,81,0,9.22
2,Longyearbyen,SJ,3/26/2022 21:04,78.2186,15.6401,-4.16,84,20,11.5
3,Jamestown,US,3/26/2022 21:04,42.097,-79.2353,35.24,66,100,14.97
4,Berberati,CF,3/26/2022 21:04,4.2612,15.7922,75.94,40,81,1.81
5,Atuona,PF,3/26/2022 21:04,-9.8,-139.0333,79.39,76,48,17.49
6,Constitucion,CL,3/26/2022 21:00,-35.3333,-72.4167,60.39,71,63,9.57
7,Tasiilaq,GL,3/26/2022 21:04,65.6145,-37.6368,23.16,64,2,3.58
8,East London,ZA,3/26/2022 21:04,-33.0153,27.9116,66.96,88,96,10.58
9,Itarema,BR,3/26/2022 21:04,-2.9248,-39.9167,79.54,82,99,10.2
10,Ushuaia,AR,3/26/2022 21:00,-54.8,-68.3,46.71,95,100,6.17
11,Shingu,JP,3/26/2022 21:01,33.7333,135.9833,57.2,93,91,4.85
12,Albany,US,3/26/2022 21:04,42.6001,-73.9662,48.02,79,96,8.3
13,Sanmenxia,CN,3/26/2022 21:04,34.7747,111.1814,48.92,36,98,2.13
14,Thompson,CA,3/26/2022 21:04,55.7435,-97.8558,4.53,71,98,12.5
15,Castro,BR,3/26/2022 21:01,-24.7911,-50.0119,68.97,85,96,5.46
16,Kefamenanu,ID,3/26/2022 21:04,-9.4467,124.4781,69.51,92,97,2.17
17,Mataura,NZ,3/26/2022 21:04,-46.1927,168.8643,52.36,93,26,0.45
18,Upernavik,GL,3/26/2022 21:04,72.7868,-56.1549,12.79,92,100,5.84
19,Bengkulu,ID,3/26/2022 21:04,-3.8004,102.2655,75.4,89,81,6.96
20,Westport,US,3/26/2022 21:04,41.1415,-73.3579,48.27,74,75,4.61
21,Hithadhoo,MV,3/26/2022 21:05,-0.6,73.0833,82.89,69,2,12.35
22,Port Elizabeth,ZA,3/26/2022 21:05,-33.918,25.5701,65.32,91,75,4
23,Barrow,US,3/26/2022 21:04,71.2906,-156.7887,-0.38,78,0,19.57
24,Butaritari,KI,3/26/2022 21:05,3.0707,172.7902,81.68,72,100,12.73
25,Kharabali,RU,3/26/2022 21:05,47.4196,47.2568,42.91,66,7,17.78
26,Sangar,RU,3/26/2022 21:05,63.9242,127.4739,-7.37,98,93,3.76
27,Kindia,GN,3/26/2022 21:05,10.0569,-12.8658,79.81,56,40,5.75
28,Kathmandu,NP,3/26/2022 21:05,27.7167,85.3167,57.42,62,20,3.44
29,Arman,RU,3/26/2022 21:05,59.7,150.1667,0.7,85,14,6.89
30,Hambantota,LK,3/26/2022 21:05,6.1241,81.1185,77.38,85,5,4.05
31,Soyo,AO,3/26/2022 21:05,-6.1349,12.3689,80.15,89,95,8.99
32,Coquimbo,CL,3/26/2022 21:05,-29.9533,-71.3436,65.93,68,0,13.8
33,Buala,SB,3/26/2022 21:05,-8.145,159.5921,78.21,85,92,2.35
34,Egvekinot,RU,3/26/2022 21:05,66.3167,-179.1667,7.07,94,99,1.77
